n,Q,0,1,2,3,a
1,How many seconds will a 500 metre long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr?,25,30,40,45,1
2,A train 108 m long moving at a speed of 50 km/hr crosses a train 112 m long coming from opposite direction in 6 seconds. The speed of the second train is:,48 km/hr,54 km/hr,66 km/hr,82 km/hr,3
3,A sum of money amounts to Rs. 9800 after 5 years and Rs. 12005 after 8 years at the same rate of simple interest. The rate of interest per annum is:,5%,8%,12%,15%,2
4,"The compound interest on Rs. 30,000 at 7% per annum is Rs. 4347. The period (in years) is:",2,2 1/2,3,4,0
5,Twenty women can do a work in sixteen days. Sixteen men can complete the same work in fifteen days. What is the ratio between the capacity of a man and a woman?,3:04,4:03,5:03,Inadequate Data,1
6,X can do a piece of work in 40 days. He works at it for 8 days and then Y finished it in 16 days. How long will they together take to complete the work?,13 1/3 days,15 days,20 days,26 days,0
7,In how many different ways can the letters of the word 'OPTICAL' be arranged so that the vowels always come together?,120,720,2160,4320,1
8,"In a group of 6 boys and 4 girls, four children are to be selected. In how many different ways can they be selected such that at least one boy should be there?",159,194,205,209,3
9,How many times are the hands of a clock at right angle in a day?,22,24,44,48,2
10,At what time between 9 and 10 o'clock will the hands of a watch be together?,45 min. past 9,50 min. past 9,49 1/11 min. past 9,48 2/11 min. past 9,2
11,"Three partners shared the profit in a business in the ratio 5 : 7 : 8. They had partnered for 14 months, 8 months and 7 months respectively. What was the ratio of their investments?",5:07:08,0.868101852,38:28:21,None of these,1
12,"Simran started a business by investing Rs. 50,000. After 6 months, Nanda joined her with a capital of Rs. 80,000. After 3 yrs, they had a profit of Rs. 24,500. What was Simran's share in the profit?","Rs. 9,423","Rs. 10,250","Rs. 12,500","Rs. 10,500",3
13,"A can contains a mixture of two liquids A and B is the ratio 7 : 5. When 9 litres of mixture are drawn off and the can is filled with B, the ratio of A and B becomes 7 : 9. How many litres of liquid A was contained by the can initially?",10,20,21,22,2
14,"A merchant has 1000 kg of sugar, part of which he sells at 8% profit and the rest at 18% profit. He gains 14% on the whole. The quantity sold at 18% profit is:",400 kg,560 kg,600 kg,640 kg,2
15,"In a class, there are 15 boys and 10 girls. Three students are selected at random. The probability that 1 girl and 2 boys are selected, is:",21/46,25/117,Jan-50,Mar-25,0
16,"What is the worst case time complexity for search, insert and delete operations in a general Binary Search Tree?",O(n) for all,O(Logn) for all,"O(Logn) for search and insert, and O(n) for delete","O(Logn) for search, and O(n) for insert and delete",0
17,"Suppose the numbers 7, 5, 1, 8, 3, 6, 0, 9, 4, 2 are inserted in that order into an initially empty binary search tree. The binary search tree uses the usual ordering on natural numbers. What is the in-order traversal sequence of the resultant tree?",7 5 1 0 3 2 4 6 8 9,0 2 4 3 1 6 5 9 8 7,0 1 2 3 4 5 6 7 8 9,9 8 6 4 2 3 0 1 5 7,2
18,"How many queues are needed to implement a stack. Consider the situation where no other data structure like arrays, linked list is available to you.",2,3,4,1,0
19,Which of the following sorting algorithms can be used to sort a random linked list with minimum time complexity?,Insertion Sort,Quick Sort,Heap Sort,Merge Sort,3
20,What is the range of integers that can be held in the MEDIUMINT datatype of SQL?,Signed numbers ranges from -8388608 to 8388607,Unsigned numbers in range 0 to 16777215,Both A and B,None of the above,2
21,"If we have a tree of n nodes, how many edges will it have?",1,(n*(n-1))/2,(n*(n-1),n-1,3
22,Which of the following data structures can handle updates and queries in log(n) time on an array?,Linked List,Stack,Queue,Segmented tree,3
23,What is the size of float and double in java?,32 & 64,64 & 64,32 & 32,64 & 32,0
24,Number of primitive data types in Java are?,6,7,8,9,2
25,Automatic type conversion is possible in which of the possible cases?,Byte to Int,Int to Long,Long to Int,Short to Int,1
26,"When an array is passed to a method, what does the method receive?",The referenced of array,Copy of array,Length of Array,Copy of Object,0
27,Arrays in java are-,Object references,Objects,Primitive Data Type,Refernce of Class Array,1
28,Which of the following are types of Unicode character string types in SQL?,nchar,ntext,Both A and B,None of the above,2
29,Which of the following datatype is most appropriate for storing a string of up to 255 characters?,TEXT,Tiny Text,BLOB,Binary,1
30,What happens when no value is inserted in an ENUM list?,Default value is inserted,Blank value is Inserted,Code will Crash,None of the above,1
