no,question,option#0,option#1,option#2,option#3,correct_option_id,,
1,What is the output of this code?,It will not compile because of line 4.,It will not compile because of line 3.,123,1234,0,,"1: class Main { \n2: public static void main (String[] args) { \n3: int array[] = {1, 2, 3, 4}; 1\n4: for (int i = 0; i < array.size(); i++) { \n5: System.out.print(array[i]); \n6: } \n7: } \n8: }\n"
2,"Which of the following can replace the CODE SNIPPET to make the code below print ""Hello World""?",super1.print(); super2.print();,this.print();,super.print();,Interface1.print(); Interface2.print();,3,,"interface Interface1 {\n static void print() {\n System.out.print(""""Hello"""");\n }\n}\n\ninterface Interface2 {\n static void print() {\n System.out.print(""""World!"""");\n }\n}"
3,What does the following code print?,CD,CDE,D,abcde,3,,"String str = ""abcde"";\nstr.trim();\nstr.toUpperCase();\nstr.substring(3, 4);\nSystem.out.println(str); "
4,What does the following code print?,It will show a stack trace with a runtime exception.,"""java.lang.Exception""",It will run and throw an exception.,It will not compile.,1,,class Main {\n public static void main (String[] args){\n System.out.println(print(1));\n }\n static Exception print(int i){\n if (i>0) {\n return new Exception();\n } else {\n throw new RuntimeException();\n }\n }\n}\n
5,What is the output of this code?,The code does not compile.,truefalse,truetrue,falsetrue,2,,"class Main { \npublic static void main (String[] args) { \nList list = new ArrayList(); \nlist.add(""hello""); \nlist.add(2); \nSystem.out.print(list.get(0) instanceof Object); \nSystem.out.print(list.get(1) instanceof Integer); \n} \n} \n
"
6,"What is the result of this code? 
",It will not compile because of line 10.,"""Hello!""",It will not compile because of line 2.,"""World!""",0,,"1: class MainClass {\n2: final String message(){\n3: return ""Hello!"";\n4: }\n5: }\n\n6: class Main extends MainClass {\n7: public static void main(String[] args) {\n8: System.out.println(message());\n9: }\n\n10: String message(){\n11: return ""World!"";\n12: }\n13: }\n"
7,"Given this code, which command will output ""2""?","java Main 1 2 ""3 4"" 5","java Main 1 ""2"" ""2"" 5","java Main.class 1 ""2"" 2 5","java Main 1 ""2"" ""3 4"" 5",1,,"""class Main { \npublic static void main(String[] args) { \nSystem.out.println(args[2]); \n} \n}"" \n"
8,What is the output of this code?,"""123451234512345""",Nothing - this will not compile.,a negative integer value,"""12345100000""",1,,class Main {  \npublic static void main(String[] args){  \nint a = 123451234512345;  \nSystem.out.println(a);  \n}  \n} \n
9,What is the output of this code?,The code does not compile,A runtime exception is thrown.,"""world!!world""","""world!world!""",1,,"class Main {  \npublic static void main (String[] args) {  \nString message = ""Hello world!"";  \nString newMessage = message.substring(6, 12)  \n+ message.substring(12, 6);  \nSystem.out.println(newMessage);  \n}  \n} \n"
10,,-1,0,StringIndexOutOfBoundsException,ArrayIndexOutOfBoundsException,2,,"public class CDAC{ \npublic static void main(String a[]){ \nString s1 = ""Sun""; \nSystem.out.println(s1.substring(5)); \n} \n} \n"
11,,Prints: ABC,Prints: A B C,Prints: ABCD,Prints: ABDC,1,,"class DAC { \npublic static void main(String[] s) { \nString s1 = ""A"", s2 = "" B "", s3 = ""C""; \ns2.trim(); s3.concat(""D""); \nSystem.out.print(s1 + s2 + s3); \n} \n} \n"
