No.,question,option_1,option_2,option_3,option_4,correct_option,code
12,12. What will be the output of the following C code?,0,compile time error,1,8,3,"#include <stdio.h> 
enum birds {SPARROW, PEACOCK, PARROT}; 
enum animals {TIGER = 8, LION, RABBIT, ZEBRA}; 
int main() 
{ 
enum birds m = TIGER; 
int k; 
k = m; 
printf(""%d\n"", k); 
return 0; 
}"
13,13. What will be the output of the following C code?,Error,Marathi coders,Marathi coders is printed infinite times,"Blank screen, no output",1,"#include <stdio.h>
int const print()
{
printf(""Marathi coders"");
return 0;
}
void main()
{
print();
}"
14,"14. What will be the final value of x in the following C code? 
",compiler dependent,3.75,24,3,2,"#include <stdio.h> 
void main() 
{ 
int x = 5 * 9 / 3 + 9; 
}"
15,"15. What will be the output of the following C code? (Initial values: x= 7, y = 8)",Error,"7.000000, 7","7.000000, junk",varies,2,"#include <stdio.h> 
void main() 
{ 
float x; 
int y; 
printf(""enter two numbers \n"", x); 
scanf(""%f %f"", &x, &y); 
printf(""%f, %d"", x, y); 
}"
16,"16. What will be the output of the following C code considering the size of a short int is 2, char is 1 and int is 4 bytes?","2,1,4","2,1,2","2,1,1","2,2,8",0,"#include <stdio.h> 
int main() 
{ 
short int i = 20; 
char c = 97; 
printf(""%d, %d, %d\n"", sizeof(i), sizeof(c), sizeof(c + i)); 
return 0; 
}"
17,"17. What will be the output of the following C code snippet? 
",returns 1,compile time error,varies,return 0,1,"#include <stdio.h> 
void main() 
{ 
1 < 2 ? return 1: return 2; 
}"
18,18. What will be the output of the following C function?,infinite loop,11111,12345,undefined behaviour,2,"#include <stdio.h>
void reverse(int i);
int main()
{
reverse(1);
}
void reverse(int i)
{
if (i > 5)
return ;
printf(""%d "", i);
return reverse((i++, i));
}"
19,19. Comment on the following C statement,"3,2","6,1","3,1","6,2",1,"n = 1; 
printf(""%d, %dn"", 3*n, n++);"
20,20. How many times i value is checked in the following C program?,1,2,3,4,3,"#include <stdio.h> 
int main() 
{ 
int i = 0; 
while (i < 3) 
i++; 
printf(""In while loop\n""); 
}"
21,21. What will be the output of the following C code?,In while loop 3,In while loop 3,In while loop 2,In while loop,2,"#include <stdio.h> 
int main() 
{ 
int i = 0; 
do 
{ 
i++; 
if (i == 2) 
continue; 
printf(""In while loop ""); 
} while (i < 2); 
printf(""%d\n"", i); 
}"
22,22. Which part of the program address space is p stored in the following C code?,text segment,Data segment,BSS segment,Stack,1,"#include <stdio.h> 
int *p; 
int main() 
{ 
int i = 0; 
p = &i; 
return 0; 
}"
23,23. what is the output of this C code?,TRUE,Undifined behaviour,FALSE,Error,2,"#include <stdio.h> 
main() 
{ 
if (sizeof(int) > -1) 
printf(""True""); 
else 
printf(""False""); 
}"
24,24. what is the output of this C code?,TRUE,FALSE,Compiler dependent,Error,1,"#include <stdio.h> 
int main() 
{ 
float f = 0.1; 
if (f == 0.1) 
printf(""True""); 
else 
printf(""False""); 
}"
25,25. What is the output of this C code?,TRUE,FALSE,Run time error,No output will be printed,3,"#include <stdio.h> 
main() 
{ 
int n = 0, m = 0; 
if (n > 0) 
if (m > 0) 
printf(""True""); 
else 
printf(""False""); 
}"
26,26. What will be the output of the following C code?,15,16,15.6,10,0,"#include <stdio.h> 
int main() 
{ 
int a = 10; 
double b = 5.6; 
int c; 
c = a + b; 
printf(""%d"", c); 
}"
